Date,Payee,Reference,Amount
2025-03-01,OVO ENERGY,OVO ENERGY,-75.50
2025-03-01,RENT - LANDLORD SMITH,RENT - LANDLORD SMITH,-850.00
2025-03-03,TESCO STORES BRISTOL,TESCO STORES BRISTOL,-65.20
2025-03-05,BRISTOL COUNCIL TAX,BRISTOL COUNCIL TAX,-120.00
2025-03-07,AMAZON UK MARKETPLACE,AMAZON UK MARKETPLACE,-29.99
2025-03-10,COSTA COFFEE 1234 BRISTOL,COSTA COFFEE 1234 BRISTOL,-3.10
2025-03-12,From J DOE,Dinner,25.00
2025-03-15,VODAFONE UK LTD,VODAFONE UK LTD,-35.00
2025-03-18,SAINSBURYS STORE BRISTOL,SAINSBURYS STORE BRISTOL,-42.80
2025-03-20,ATM @ LLOYDS BANK BROADMEAD,ATM @ LLOYDS BANK BROADMEAD,-50.00
2025-03-22,THE OLD DUKE PUB BRISTOL,THE OLD DUKE PUB BRISTOL,-22.50
2025-03-25,TRAINLINE.COM,TRAINLINE.COM,-48.60
2025-03-28,PUREGYM LTD,PUREGYM LTD,-19.99
2025-03-28,TO S BROWN,Gift,-30.00
2025-03-30,SALARY - ACME LTD,SALARY - ACME LTD,1850.65
2025-03-31,LLOYDS BANK INTEREST,LLOYDS BANK INTEREST,0.85
2025-04-01,OVO ENERGY,OVO ENERGY,-78.00
2025-04-01,RENT - LANDLORD SMITH,RENT - LANDLORD SMITH,-850.00
2025-04-02,ASDA SUPERSTORE BEDMINSTER,ASDA SUPERSTORE BEDMINSTER,-58.15
2025-04-05,BRISTOL COUNCIL TAX,BRISTOL COUNCIL TAX,-120.00
2025-04-08,BOOTS THE CHEMIST CABOT CIRCUS,BOOTS THE CHEMIST CABOT CIRCUS,-15.40
2025-04-10,GREGGS 5678 BRISTOL,GREGGS 5678 BRISTOL,-4.50
2025-04-12,WWW.ASOS.COM,WWW.ASOS.COM,-55.00
2025-04-15,VODAFONE UK LTD,VODAFONE UK LTD,-35.00
2025-04-18,LIDL UK GMBH BRISTOL,LIDL UK GMBH BRISTOL,-33.90
2025-04-20,CINEWORLD CINEMA BRISTOL,CINEWORLD CINEMA BRISTOL,-24.00
2025-04-22,ATM @ POST OFFICE EASTON,ATM @ POST OFFICE EASTON,-40.00
2025-04-25,DELIVEROO,DELIVEROO,-18.75
2025-04-28,PUREGYM LTD,PUREGYM LTD,-19.99
2025-04-29,WH SMITH RAILWAY STN BRISTOL TM,WH SMITH RAILWAY STN BRISTOL TM,-6.99
2025-04-30,LLOYDS BANK INTEREST,LLOYDS BANK INTEREST,0.28
